,smell value,TEST
35,3.0,0.0067783888
36,3.0,7.117599999999999e-06
0,5.0,0.0
1,5.0,0.0
2,2.0,0.0
3,3.0,3.2995e-05
4,5.0,2.2521e-05
5,4.0,0.002331288
6,5.0,0.0
7,4.0,0.023231691
8,4.0,0.021334159
9,5.0,0.044961117
10,3.0,0.015948404
11,3.0,0.03579365
12,3.0,0.037613492
13,4.0,0.070508511
14,9.0,0.039790587
15,3.0,0.026419
16,5.0,0.039931267
17,4.0,0.053391535
18,5.0,0.038391262
19,5.0,0.034313141
20,3.0,0.028444606
21,9.0,0.026263202
22,6.0,0.024897518
23,9.0,0.05998807
24,15.0,0.034467675
25,9.0,0.047086642
26,9.0,0.040132634
27,9.0,0.1629576
28,5.0,0.024275477
29,5.0,0.032018985
30,8.0,0.02857473
31,4.0,0.027315222
32,14.0,0.026349687
33,10.0,0.115471876
34,4.0,0.13371623
35,4.0,0.038857449
36,4.0,0.049830491
37,8.0,0.036867593
38,5.0,0.0
39,5.0,0.047429485
40,4.0,0.035241933
41,5.0,0.057012573999999996
42,4.0,0.042392114
43,4.0,0.047292121
44,3.0,0.052227182
0,5.0,0.0
1,5.0,0.0
2,3.0,0.000196689
3,8.0,0.001114874
4,3.0,0.001525748
5,4.0,0.0
6,4.0,0.001040332
7,4.0,0.000901707
8,5.0,0.002902256
9,4.0,0.004954094
10,3.0,0.003549952
11,3.0,0.004994379
12,10.0,0.003837136
13,4.0,0.007138511
14,5.0,0.006834577
15,5.0,0.006372145
16,4.0,0.0058200551
17,4.0,0.0053635474
18,10.0,0.0049054324
19,1.0,0.00936144
20,3.0,0.0052938586000000004
21,4.0,0.0111780918
22,2.0,0.0120070733
23,5.0,0.0
24,3.0,0.016512156899999998
0,5.0,0.015366393
1,3.0,0.024186879
2,4.0,0.010464065
3,4.0,0.038562683
4,5.0,0.019839768
5,3.0,0.15727938
6,3.0,0.009255252
7,5.0,0.062861813
8,4.0,0.174606077
9,5.0,0.201444535
10,5.0,0.0
0,3.0,0.002259993
1,4.0,0.006548092
2,2.0,0.014319256
3,1.0,0.004264346
4,7.0,0.0100305
5,4.0,0.000927224
6,4.0,0.000225764
7,4.0,0.010869577
8,5.0,0.000818971
9,3.0,0.001055455
10,4.0,0.004266593
11,3.0,0.007116012
12,4.0,0.012740964
13,3.0,0.018107347
14,4.0,0.005532854
15,5.0,0.005155918
16,3.0,0.010859491
17,2.0,0.019233665
18,3.0,0.01039677
19,3.0,0.00739987
20,8.0,0.017261041
21,5.0,0.003400863
22,4.0,0.020770096000000002
23,4.0,0.010816489
24,4.0,0.010447526
25,4.0,0.013843191
26,4.0,0.008022192
27,3.0,0.004874162
28,8.0,0.02291004
29,5.0,0.023820634
30,4.0,0.012772903
31,4.0,0.013549926
32,4.0,0.008181294
