,Liberty,Glassport,Harrison,NorthBraddock,Lawrenceville
rmse,32.02483435596578,8.139344326523295,0.006720116607967276,15.341247346390247,11.352906965490362
r,0.26467816765922114,-0.027185125469379054,0.37196330750212175,-0.07714537651987265,-0.37365475018410516
p,0.21134749347718004,0.8996585819176768,0.07348372701007065,0.7264392692705106,0.07903578229565812
predictions,"[5.21312000e-04 1.06197000e-04 1.15675390e-02 1.22411240e-01
 4.89840500e-02 2.59408410e-02 1.35741420e-02 1.44210374e-01
 2.03580200e-01 1.61372354e-01 1.41784167e-01 6.36405200e-03
 8.40896000e-04 1.96314130e-02 5.71199500e-03 4.85245700e-03
 2.90499310e-03 1.21715130e-03 1.26096100e-03 2.92280600e-03
 3.82272900e-03 2.49612000e-04 7.95667400e-03 5.28353200e-03]","[5.78395280e-02 9.14700420e-02 6.39208900e-02 4.33328200e-03
 1.34257000e-03 7.48900000e-06 6.77262000e-04 3.91719900e-03
 6.21953200e-03 2.80327100e-03 9.45642000e-03 1.13781938e-01
 1.07476194e-01 1.45572340e-02 1.05320430e-02 1.90962880e-03
 1.08878400e-04 9.54746300e-04 8.70531000e-04 7.87278500e-03
 6.09579000e-03 5.39412000e-04 8.49308840e-02 3.94432250e-02]","[4.3673000e-04 1.5590400e-04 2.7023300e-04 1.2234200e-04 1.5468300e-04
 3.2709300e-03 9.8502700e-04 4.7624560e-03 1.8257655e-02 2.4457222e-02
 9.1862140e-03 5.1682970e-03 1.7028420e-03 2.2059750e-03 9.1199030e-03
 2.4006841e-03 1.6325802e-03 1.2842571e-03 5.8202800e-04 1.1920550e-04
 2.3944980e-03 2.0047200e-04 4.0820000e-05 3.1000000e-04]","[0.21314954 0.12145655 0.10734077 0.0123818  0.01277475 0.00414168
 0.07963686 0.06277127 0.0393269  0.13187172 0.21901706 0.12343134
 0.02437382 0.00481126 0.00207187 0.00047642 0.00187114 0.04197466
 0.00450508 0.01920998 0.09849439 0.12519399 0.10701864]","[5.3441580e-03 1.7349056e-02 3.1266126e-02 1.9522770e-03 2.5190300e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.6349000e-05 3.2665000e-05
 9.6620000e-06 0.0000000e+00 6.1130000e-06 1.0924410e-03 7.3098000e-05
 5.4292000e-04 1.6795000e-03 3.6163940e-03]"
targets,"[21. 12.  9. 17. 24. 36. 38. 34. 42. 35. 44. 42. 33. 53. 39. 37. 51. 21.
 32.  0.  0. 14. 28. 27.]","[ 2.  9.  4.  0.  3.  5.  7.  4.  1.  7.  7.  7.  8. 17. 15. 15. 11. 13.
 10.  4.  0.  0.  5.  4.]","[0.005 0.002 0.006 0.004 0.003 0.003 0.007 0.009 0.008 0.01  0.01  0.011
 0.009 0.012 0.011 0.009 0.008 0.007 0.003 0.01  0.011 0.01  0.006 0.005]","[17.  8. 10. 21. 18. 20.  5. 13.  9. 14. 14. 18. 16. 15. 12. 16. 14.  6.
  5. 30. 10. 15. 22.]","[ 6.  6.  3.  0.  4.  6.  4.  7. 17. 17. 20. 13.  9. 17. 14. 12. 16. 16.
  9. 14.  6.  2.  9.]"
