,Liberty,Glassport,Harrison,NorthBraddock,Lawrenceville
rmse,53.403354310218276,20.801404177160087,0.0198359766277539,44.23483154669131,30.360242387379355
r,-0.18140616902559625,-0.13091763814657315,0.5384364820908123,0.7383248179582517,0.00798118600310009
p,0.396251926264019,0.5420220256191695,0.00664024480190824,3.8047200544878206e-05,0.9704747790257845
predictions,"[0.01630806 0.01070467 0.01034732 0.03144501 0.43654612 0.10515783
 0.16511287 0.0926244  0.0939202  0.22208689 0.28422939 0.34067367
 0.48850972 0.55013116 0.31027435 0.00382511 0.00219502 0.00162479
 0.00184136 0.00133048 0.00436651 0.0132204  0.0449654  0.02292185]","[0.02817084 0.0179914  0.00923441 0.00618139 0.00669195 0.00262775
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00090468 0.00273956 0.00296188
 0.0037833  0.00290385 0.00637216 0.01482659 0.10495417 0.14284406]","[2.492191e-03 5.182405e-03 5.519587e-03 8.683966e-03 7.725997e-03
 7.421700e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.132690e-04
 6.021890e-04 1.512755e-03 1.668590e-03 9.002210e-04 1.926687e-04
 6.871500e-05 5.322700e-05 2.889120e-04 1.634023e-03]","[2.41168270e-02 3.09143000e-04 1.54405000e-03 2.05772321e-01
 2.36010697e-01 1.58563194e-01 3.02554760e-01 3.97442640e-01
 5.89371200e-01 5.78019269e-01 4.88318372e-01 3.47851409e-01
 2.50883817e-01 6.07617488e-01 4.89359014e-01 9.52259600e-03
 4.75516800e-03 8.66378000e-04 5.61060000e-05 0.00000000e+00
 0.00000000e+00 4.02700000e-06 8.58500000e-05 1.25668770e-01]","[4.42620e-04 3.09400e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 4.43400e-04 2.62180e-04 4.08138e-04 8.30090e-05 7.71800e-06
 2.16480e-05 0.00000e+00 1.95400e-06 4.02400e-05 1.56450e-05 8.56825e-04]"
targets,"[ 23.  34.  65.  37.  52.  32.  23.  43.  35.  35.  46.  34.  37.  40.
  49.  88. 101. 130.  76.  40.  31.  18.  19.  19.]","[36. 24. 19. 15. 12. 13. 17. 19. 18. 15. 13. 17. 16. 23. 21. 30. 36. 33.
 20. 16. 15. 12. 12. 17.]","[0.035 0.035 0.03  0.026 0.026 0.026 0.028 0.023 0.023 0.022 0.007 0.02
 0.017 0.019 0.019 0.017 0.024 0.019 0.015 0.01  0.01  0.008 0.007 0.018]","[13. 19. 33. 55. 53. 62. 35. 34. 47. 48. 80. 76. 59. 69. 69. 41. 36. 15.
 15.  8. 10. 11. 15. 14.]","[11. 25. 41. 24. 19. 21. 37. 30. 18. 26. 53. 47. 43. 43. 48. 52. 26. 20.
  7.  2.  5.  5.  9.  8.]"
