,Liberty,Glassport,Harrison,NorthBraddock,Lawrenceville
rmse,57.76782883217992,19.352338497218945,0.019827326041017248,39.705997815460634,41.75851266314663
r,-0.3185829792271329,-0.029455320229905685,-0.21097726187345478,0.012559930072008618,0.3714651740113489
p,0.1291995895673122,0.8913257116887668,0.32237208091921554,0.9535509514898175,0.07390037808367665
predictions,"[0.2110495  0.16532042 0.09127365 0.05881707 0.04778482 0.06713521
 0.17511881 0.16470394 0.10392372 0.0572944  0.07356678 0.12281489
 0.17284967 0.11738124 0.00166056 0.00466235 0.00360753 0.00474473
 0.00802355 0.00832415 0.01303334 0.04932751 0.00187834 0.03337714]","[1.95656314e-01 3.11041036e-01 3.64271798e-01 4.94211918e-01
 6.45283680e-01 1.57959600e-01 0.00000000e+00 1.19350000e-04
 9.90495000e-04 1.74005850e-02 2.55029220e-02 2.41312300e-02
 1.07847780e-02 4.57794600e-03 1.35261000e-04 1.27567000e-04
 2.52837000e-04 4.43354000e-04 6.88753000e-04 1.81660800e-03
 2.16241700e-03 3.82058600e-03 1.17341682e-01 1.90986180e-01]","[7.319050e-04 8.350810e-04 8.163540e-04 8.758730e-04 1.140301e-03
 2.583500e-04 7.485500e-05 1.129763e-03 1.002343e-03 4.397830e-04
 5.506750e-04 4.825630e-04 1.259645e-03 2.367522e-03 7.609410e-03
 2.666025e-03 8.584430e-04 7.912400e-04 1.061773e-03 1.305610e-03
 1.607646e-03 2.648088e-03 2.494409e-03 1.075248e-03]","[0.12853445 0.10424689 0.29174725 0.5509257  0.60647595 0.23123178
 0.11891792 0.09227137 0.1627094  0.12516211 0.08716487 0.14367292
 0.22956521 0.19592332 0.03582386 0.00291116 0.00199108 0.00327141
 0.00529159 0.00642    0.00437317 0.04692566 0.19081054 0.15125351]","[2.6182160e-03 2.4729800e-03 2.3903800e-03 2.1078346e-02 2.8538960e-02
 6.4680000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 9.6383000e-05 2.2960000e-04 1.2194000e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.6350000e-05
 3.7116000e-05 1.2416900e-04 9.1079500e-04 9.3478200e-04]"
targets,"[  9.  39.  68.  65.  53.  52.  34.  31.  31.  30.  45.  49.  71.  63.
  65. 101. 139.  87.  50.  31.  29.  24.  21.  15.]","[13. 18. 20. 19. 20. 19. 19. 23. 19. 19. 23. 21. 25. 25. 32. 36. 18. 12.
  9.  7.  7. 10. 10.  8.]","[0.023 0.031 0.035 0.027 0.028 0.012 0.01  0.022 0.02  0.018 0.02  0.018
 0.018 0.017 0.016 0.021 0.028 0.022 0.015 0.025 0.019 0.012 0.008 0.014]","[ 11.  21.  16.  30.  26.  53.  54.  58.  55.  50.  53.  42.  13.  65.
 100.  25.  13.  13.  12.  18.  14.  10.  14.  13.]","[37. 70. 54. 66. 51. 68. 45. 37. 42. 34. 36. 42. 26. 41. 79. 51. 18.  6.
  3.  3.  4.  6.  5.  8.]"
