,Liberty,Glassport,Harrison,NorthBraddock,Lawrenceville
rmse,32.9885309894455,12.081382060107517,0.004785514936308359,12.731333981283667,19.934480641761887
r,0.37017109961344963,0.12238208886308263,0.36895956489335546,-0.5939000228048599,-0.1631819488223393
p,0.07499116233999044,0.5780116841146351,0.07602340866795951,0.0917531838202913,0.44613320645762455
predictions,"[0.04051883 0.07485897 0.09559948 0.1007373  0.06022184 0.08011212
 0.05758698 0.01885532 0.01111372 0.02498659 0.02549739 0.01281348
 0.01353756 0.00211419 0.00573421 0.0015107  0.00049695 0.000313
 0.00028997 0.00022954 0.00014354 0.00025453 0.00027565 0.00160673]","[1.3188350e-03 1.4093149e-02 1.4619200e-03 3.2690000e-05 4.6479100e-04
 1.5035920e-03 3.5119000e-04 1.3732800e-04 7.0246300e-04 3.7379300e-04
 7.4921000e-05 4.2095800e-04 7.6555900e-04 9.9787640e-03 2.9385260e-03
 4.3461960e-04 2.9000410e-04 3.1605220e-04 3.8453300e-04 4.3361700e-04
 3.9259600e-04 4.2354000e-04 8.5550000e-05]","[4.7085160e-03 6.7036950e-03 8.0254810e-03 1.4828375e-02 2.1413090e-03
 1.1448990e-03 3.2268310e-03 3.9125660e-03 3.1262120e-03 4.6919160e-03
 5.7469450e-03 3.9246040e-03 2.8643420e-03 2.0239810e-03 1.0663520e-03
 1.8989910e-03 3.6400300e-04 8.2892900e-05 1.1163350e-04 9.4163700e-05
 1.2350780e-04 1.7349550e-04 2.0815400e-04 8.9120400e-04]","[1.2592424e-02 3.6844154e-02 1.2947671e-02 4.3290660e-03 3.8897800e-05
 1.8714200e-05 7.1450000e-06 3.5712000e-05 1.6598000e-05]","[0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 9.40110e-05 7.72510e-05 7.29400e-06
 0.00000e+00 0.00000e+00 4.00622e-04 9.38802e-04 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]"
targets,"[20.66666667 22.         36.         36.         47.         44.
 46.         42.         39.         29.         35.         39.
 33.         31.         23.         24.         42.         36.
 27.         32.         22.         27.         15.         11.        ]","[ 3.  9. 10. 11.  7.  5.  5.  9.  8. 11. 11. 14. 13. 20. 13. 10. 14. 21.
 14. 16. 13. 13. 10.]","[0.002 0.004 0.008 0.008 0.007 0.012 0.009 0.008 0.008 0.009 0.01  0.011
 0.007 0.009 0.005 0.005 0.006 0.005 0.004 0.003 0.003 0.002 0.002 0.002]","[ 7.5        10.         10.53571429 11.07142857 12.5        13.
 15.         14.         18.        ]","[ 1.  11.  22.  20.  11.  17.  18.  19.  21.  20.  21.  17.  16.  17.
 15.  14.  26.5 39.  30.  25.  21.  15.  17.  14. ]"
