,Liberty,Glassport,Harrison,NorthBraddock,Lawrenceville
rmse,7.938922385071958,5.265302911152123,0.0027453136479748314,4.047887921137956,2.8867485213213486
r,0.2656834264725867,0.24960937696164093,0.184299118464404,0.14879293021683004,-0.06993452280858393
p,0.2095534752496233,0.23948059688260845,0.3886334548575697,0.4877460154537677,0.7453960464784932
predictions,"[0.00014582 0.0002495  0.00121998 0.00177668 0.00312192 0.00136256
 0.0002061  0.00045558 0.00041525 0.00045004 0.00123693 0.00104344
 0.00107517 0.00153478 0.00132026 0.00086717 0.00123981 0.00140795
 0.00060439 0.0005846  0.00090516 0.00105579 0.00061822 0.00033234]","[0.00041116 0.00085297 0.00305796 0.00402476 0.00634214 0.00215844
 0.00099596 0.00195145 0.00160968 0.00186817 0.00429551 0.00433331
 0.00452964 0.00474382 0.00350365 0.00194993 0.00223391 0.00243047
 0.00137379 0.00130601 0.00202448 0.00233603 0.00160127 0.0009802 ]","[1.23418e-04 1.93920e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 7.85700e-06 0.00000e+00 7.70600e-06 6.29000e-06 0.00000e+00 0.00000e+00
 2.49780e-05 3.09650e-05 1.97850e-05 5.14690e-06 7.61870e-06 2.34060e-06
 9.68320e-06 7.91210e-06 1.10664e-05 2.96740e-06 1.05580e-05 8.01660e-05]","[8.8320e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8930e-06
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4330e-06 0.0000e+00
 5.7720e-06 0.0000e+00 0.0000e+00 1.8642e-06 8.8159e-06 6.2312e-06
 5.3936e-06 7.9993e-06 4.9272e-06 2.0480e-06 0.0000e+00 2.6890e-06]","[0.00000e+00 0.00000e+00 4.90300e-06 0.00000e+00 3.36770e-05 9.05900e-06
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.01689e-05 0.00000e+00
 6.06790e-06 1.01500e-06 6.50500e-06 0.00000e+00 0.00000e+00 0.00000e+00]"
targets,"[ 5.  5.  5.  8.  5.  8.  7.  5.  5.  5.  5.  5.  8. 13. 16. 13. 10.  8.
  7.  3. 10.  9.  5.  5.]",[4. 5. 6. 7. 5. 3. 3. 9. 5. 1. 3. 5. 7. 6. 7. 5. 5. 5. 4. 7. 4. 5. 4. 5.],"[0.002 0.002 0.002 0.001 0.002 0.001 0.001 0.001 0.001 0.001 0.002 0.002
 0.003 0.006 0.006 0.004 0.004 0.002 0.001 0.002 0.002 0.003 0.003 0.003]","[4.  3.  2.  2.  4.  4.  3.  3.  4.  3.  4.  4.  4.  5.  5.  4.  5.5 7.
 2.  2.  3.  5.  5.  5. ]",[3. 2. 2. 2. 3. 3. 3. 3. 3. 3. 3. 4. 4. 3. 3. 3. 3. 3. 2. 2. 2. 3. 3. 3.]
