,Liberty,Glassport,Harrison,NorthBraddock,Lawrenceville
rmse,23.6638265361718,11.647956341907475,0.009574214631935762,9.760348860946433,5.077642976136286
r,0.3999090226994141,0.16201478462355753,0.769198144780513,0.060238563724601506,-0.14251683088190698
p,0.052838783665635866,0.4494367858816355,1.1198831934802666e-05,0.77977876728229,0.5064860498233231
predictions,"[0.         0.         0.         0.         0.         0.00019862
 0.00078401 0.00138887 0.0011315  0.00564615 0.00478085 0.03577023
 0.09615918 0.0840764  0.02594287 0.01150853 0.00867525 0.00599384
 0.00513692 0.00025005 0.00029972 0.         0.         0.        ]","[0.000000e+00 0.000000e+00 0.000000e+00 2.876200e-05 0.000000e+00
 7.219250e-04 1.418460e-03 4.277620e-04 4.243700e-04 7.916430e-04
 2.796770e-04 3.326000e-05 8.864880e-04 2.428227e-03 4.354858e-03
 1.397635e-03 3.328455e-03 4.679362e-03 6.619606e-03 3.926745e-03
 1.928002e-03 5.825400e-05 0.000000e+00 0.000000e+00]","[0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 1.085200e-04 2.494960e-04 4.661640e-04 1.416844e-03
 2.084976e-03 2.269861e-03 6.560786e-03 7.277002e-03 4.915791e-03
 3.731584e-03 2.073146e-03 1.507518e-03 1.497601e-03 7.652350e-04
 2.237880e-04 3.731600e-05 0.000000e+00 0.000000e+00]","[0.0000000e+00 3.7548300e-04 2.7071900e-04 3.6106640e-03 0.0000000e+00
 4.0613000e-05 5.8772800e-04 9.2136500e-04 1.1751070e-03 1.0531800e-03
 1.4482360e-03 3.4280390e-03 3.1862387e-02 3.5085707e-02 1.3191245e-02
 6.2230370e-03 7.9360410e-03 1.3199072e-02 1.7188146e-02 2.3293452e-02
 2.4161271e-02 2.7990730e-03 0.0000000e+00 0.0000000e+00]","[2.915581e-03 4.281918e-03 7.706250e-04 4.719497e-03 1.101664e-03
 5.953420e-04 0.000000e+00 0.000000e+00 4.419000e-05 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 1.193960e-04 2.313480e-04 1.018988e-03
 2.659716e-03 3.455807e-03 1.388748e-03 9.013400e-05]"
targets,"[14. 16. 13. 20. 15. 18. 17. 17. 20. 33. 13. 17. 24. 39. 28. 34. 34. 35.
 29. 23. 18. 18. 22. 21.]","[ 9. 10.  7. 12. 12. 11. 11. 11. 11.  9. 10. 12. 15. 11. 14. 14. 14. 14.
 10.  8. 14. 10. 14. 12.]","[0.004 0.004 0.005 0.007 0.008 0.009 0.009 0.01  0.01  0.011 0.012 0.012
 0.013 0.018 0.021 0.017 0.016 0.013 0.01  0.006 0.009 0.011 0.011 0.008]","[ 8. 13.  9.  9.  9.  9.  8.  8.  9.  7.  8.  7.  9.  9. 12. 13. 14. 10.
 11.  9.  9.  8. 10. 12.]",[5. 6. 6. 5. 5. 5. 5. 5. 6. 5. 5. 5. 7. 6. 6. 6. 5. 3. 2. 4. 4. 3. 5. 5.]
