,date,percentage agreement average,percentage agreement sum,impact stats average,impact stats sum,correlation average,correlation sum
2018-8-12-morning,2018-8-12-morning,100.0,100.0,"                  Mean  Count      STD
smell value                           
3.0          18.117505      2  4.15164
4.0          11.173818      1      NaN","                  Mean  Count      STD
smell value                           
3.0          18.117505      2  4.15164
4.0          11.173818      1      NaN",-0.8068113370553487,-0.8068113370553487
2018-8-12-afternoon,2018-8-12-afternoon,100.0,100.0,"                  Mean  Count  STD
smell value                       
1.0          16.673158      1  NaN","                  Mean  Count  STD
smell value                       
1.0          16.673158      1  NaN",,
2018-8-13-morning,2018-8-13-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          34.425177      2   1.930800
3.0          23.702872      1        NaN
4.0           0.167897      2   0.086765
5.0           9.025387      3  15.584417","                  Mean  Count        STD
smell value                             
1.0          34.425177      2   1.930800
3.0          23.702872      1        NaN
4.0           0.167897      2   0.086765
5.0           9.025387      3  15.584417",-0.741045458620271,-0.741045458620271
2018-8-13-afternoon,2018-8-13-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          12.517734      1       NaN
2.0          11.011687      1       NaN
3.0           9.024198      4  1.621535
4.0           9.534358      1       NaN","                  Mean  Count       STD
smell value                            
2.0          11.764710      2  1.064936
3.0           9.024198      4  1.621535
4.0           9.534358      1       NaN",-0.6618455134530448,-0.5559402554500632
2018-8-14-morning,2018-8-14-morning,100.0,100.0,"                  Mean  Count  STD
smell value                       
3.0           7.807214      1  NaN
4.0          23.580422      1  NaN","                  Mean  Count  STD
smell value                       
3.0           7.807214      1  NaN
4.0          23.580422      1  NaN",0.9999999999999999,0.9999999999999999
2018-8-15-morning,2018-8-15-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
2.0          15.935661      2  21.839916
3.0          17.339811      5   9.898073
4.0          12.335943      3   2.052611
5.0          24.949306      1        NaN","                  Mean  Count        STD
smell value                             
2.0          15.935661      2  21.839916
3.0          17.339811      5   9.898073
4.0          12.335943      3   2.052611
5.0          24.949306      1        NaN",0.06397242771630376,0.06397242771630376
2018-8-15-afternoon,2018-8-15-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
3.0          31.916158      1       NaN
4.0           9.234383      2  2.051556","                  Mean  Count       STD
smell value                            
3.0          31.916158      1       NaN
4.0           9.234383      2  2.051556",-0.9939200647740312,-0.9939200647740312
2018-8-16-morning,2018-8-16-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          13.257062      1       NaN
3.0           7.464827      1       NaN
3.5          28.147462      1       NaN
4.0           7.574775     12  3.612297
5.0          12.865926      1       NaN","                  Mean  Count       STD
smell value                            
1.0          13.257062      1       NaN
3.0           7.464827      1       NaN
4.0           7.487542     10  3.339805
5.0          12.865926      1       NaN
7.0          28.147462      1       NaN
8.0           8.010942      2  6.533780",-0.19556066203230402,0.2297367579434775
2018-8-16-afternoon,2018-8-16-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
3.0          15.008368      2  1.190518
4.0          22.193743      1       NaN
5.0          17.465734      1       NaN","                  Mean  Count       STD
smell value                            
3.0          15.008368      2  1.190518
4.0          22.193743      1       NaN
5.0          17.465734      1       NaN",0.4903485875814601,0.4903485875814601
2018-8-17-morning,2018-8-17-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          15.292088      4   7.227228
4.0          15.987993      4  11.542842","                  Mean  Count       STD
smell value                            
3.0          15.292088      4  7.227228
4.0          10.240595      3  1.288550
8.0          33.230184      1       NaN",0.04168591330846666,0.6795887253634292
2018-8-17-afternoon,2018-8-17-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
3.0          30.538148      1       NaN
4.0          31.501982      2  2.867576
5.0          21.269014      1       NaN","                  Mean  Count       STD
smell value                            
3.0          30.538148      1       NaN
4.0          31.501982      2  2.867576
5.0          21.269014      1       NaN",-0.7214983666795531,-0.7214983666795531
2018-8-18-morning,2018-8-18-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          13.748318      2  9.071043","                  Mean  Count       STD
smell value                            
1.0          13.748318      2  9.071043",,
2018-8-18-afternoon,2018-8-18-afternoon,100.0,100.0,"                  Mean  Count  STD
smell value                       
1.0           1.342837      1  NaN
3.0           6.713152      1  NaN
5.0          12.579764      1  NaN","                  Mean  Count  STD
smell value                       
1.0           1.342837      1  NaN
3.0           6.713152      1  NaN
5.0          12.579764      1  NaN",0.9996750428437418,0.9996750428437418
