EpochTime,3.feed_25.NO2_PPM..3.feed_25.NO2_PPB
1479162600,0.014
1479166200,0.035
1479169800,0.035
1479173400,0.03
1479177000,0.026
1479180600,0.026
1479184200,0.026
1479187800,0.028
1479191400,0.023
1479195000,0.023
1479198600,0.022
1479202200,0.007
1479205800,0.02
1479209400,0.017
1479213000,0.019
1479216600,0.019
1479220200,0.017
1479223800,0.024
1479227400,0.019
1479231000,0.015
1479234600,0.01
1479238200,0.01
1479241800,0.008
1479245400,0.007
1479249000,0.018
1479252600,0.037
1479256200,0.04
1479259800,0.038
1479263400,0.034
1479267000,0.032
1479270600,0.03
1479274200,0.028
1479277800,0.027
1479281400,0.025
1479285000,0.023
1479288600,0.024
1479292200,0.029
1479295800,0.029
1479299400,0.031
1479303000,0.03
1479306600,0.028
1479310200,0.019
1479313800,0.01
1479317400,0.003
1479321000,0.003
1479324600,0.003
1479328200,0.005
1479331800,0.005
1479335400,0.006
1479339000,0.008
1479342600,0.009
1479346200,0.009
1479349800,0.006
1479353400,0.009
1479357000,0.015
1479360600,0.02
1479364200,0.015
1479367800,0.013
1479371400,0.013
1479375000,0.013
1479378600,0.014
1479382200,0.013
1479385800,0.012
1479389400,0.013
1479393000,0.014
1479396600,0.016
1479400200,0.02
1479403800,0.014
1479407400,0.013
1479411000,0.011
1479414600,0.012
1479418200,0.017
1479421800,0.018
1479425400,0.018
1479429000,0.022
1479432600,0.016
1479436200,0.016
1479439800,0.012
1479443400,0.011
1479447000,0.012
1479450600,0.01
1479454200,0.008
1479457800,0.001
1479461400,0.001
1479465000,0.001
1479468600,0.003
1479472200,0.007
1479475800,0.006
1479479400,0.006
1479483000,0.019
1479486600,0.022
1479490200,0.018
1479493800,0.016
1479497400,0.009
1479501000,0.012
1479504600,0.013
1479508200,0.031
1479511800,0.039
1479515400,0.027
1479519000,0.024
1479522600,0.019
1479526200,0.022
1479529800,0.02
1479533400,0.022
1479537000,0.022
1479540600,0.024
1479544200,0.028
1479547800,0.033
1479551400,0.033
1479555000,0.031
1479558600,0.02
1479562200,0.016
1479565800,0.01
1479569400,0.001
1479573000,0.0
1479576600,0.001
1479580200,0.0
1479583800,0.0
1479587400,0.0
1479591000,0.0
1479594600,0.0
1479598200,0.0
1479601800,0.0
1479605400,0.0
1479609000,0.0
1479612600,0.0
1479616200,0.0
1479619800,0.0
1479623400,0.0
1479627000,0.0
1479630600,0.0
1479634200,0.0
1479637800,0.0
1479641400,0.0
1479645000,0.0
1479648600,0.0
1479652200,0.0
1479655800,0.0
1479659400,0.0
1479663000,0.0
1479666600,0.0
1479670200,0.0
1479673800,0.0
1479677400,0.0
1479681000,0.0
1479684600,0.0
1479688200,0.0
1479691800,0.0
1479695400,0.0
1479699000,0.0
1479702600,0.0
1479706200,0.0
1479709800,0.0
1479713400,0.0
1479717000,0.0
1479720600,0.0
1479724200,0.0
1479727800,0.0
1479731400,0.001
1479735000,0.001
1479738600,0.002
1479742200,0.002
1479749400,0.001
1479753000,0.001
1479756600,0.002
1479760200,0.002
1479763800,0.003
1479767400,0.003
1479771000,0.002
1479774600,0.001
1479778200,0.001
1479781800,0.001
1479785400,0.004
1479789000,0.005
1479792600,0.003
1479796200,0.004
1479799800,0.004
1479803400,0.006
1479807000,0.009
1479810600,0.009
1479814200,0.009
1479817800,0.011
1479821400,0.009
1479825000,0.005
1479828600,0.004
1479832200,0.002
1479835800,0.001
1479839400,0.001
1479843000,0.002
1479846600,0.002
1479850200,0.005
1479853800,0.011
1479857400,0.015
1479861000,0.021
1479864600,0.031
1479868200,0.03
1479871800,0.02
1479875400,0.007
1479879000,0.007
1479882600,0.014
1479886200,0.02
1479889800,0.021
1479893400,0.018
1479897000,0.017
1479900600,0.019
1479904200,0.017
1479907800,0.013
1479911400,0.014
1479915000,0.005
1479918600,0.007
1479922200,0.016
