,date,percentage agreement average,percentage agreement sum,impact stats average,impact stats sum,correlation average,correlation sum
2019-5-1-morning,2019-5-1-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          15.665400      4  6.525384
2.0          27.975399      2  5.069328
3.0          12.839590     12  6.476860
3.4          21.035398      1       NaN
3.5          12.210188      2  4.719375
4.0          15.364647     17  5.397531
4.5          20.884659      1       NaN
5.0          13.760513      4  6.612587","                  Mean  Count       STD
smell value                            
1.0          13.166966      3  5.139837
2.0          26.370499      3  4.536094
3.0          12.510154     10  6.789812
4.0          15.364647     17  5.397531
5.0          15.558546      3  6.796464
6.0          14.486773      2  6.326235
7.0          12.210188      2  4.719375
9.0          20.884659      1       NaN
10.0          8.366414      1       NaN
17.0         21.035398      1       NaN",-0.10895818936168147,0.029374077404754898
2019-5-1-afternoon,2019-5-1-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          19.510058      3   7.217299
2.0           4.113743      3   3.168081
3.0          11.651098      6   5.604748
4.0          16.813572      6  13.041024
5.0          10.399111      3   9.150748","                  Mean  Count        STD
smell value                             
1.0          19.510058      3   7.217299
2.0           4.113743      3   3.168081
3.0          11.651098      6   5.604748
4.0          16.813572      6  13.041024
5.0          10.399111      3   9.150748",-0.021191828672844516,-0.021191828672844516
2019-5-2-morning,2019-5-2-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          15.826798      1       NaN
2.0          10.530868      1       NaN
2.5          33.371051      1       NaN
3.0          17.757278      4  4.161377
4.0          43.419733      1       NaN
5.0          33.252856      3  7.159639","                  Mean  Count       STD
smell value                            
1.0          15.826798      1       NaN
2.0          10.530868      1       NaN
3.0          17.757278      4  4.161377
4.0          43.419733      1       NaN
5.0          33.282405      4  5.846120",0.6565216667734766,0.7652096654282139
2019-5-2-afternoon,2019-5-2-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          25.407077      3  10.117437
3.0          39.179728      2   0.366287
4.0           6.092074      1        NaN","                  Mean  Count        STD
smell value                             
1.0          25.407077      3  10.117437
3.0          39.179728      2   0.366287
4.0           6.092074      1        NaN",-0.13626455586805764,-0.13626455586805764
2019-5-3-morning,2019-5-3-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          18.707041      2  6.995764
3.0           3.790772      1       NaN
4.0          18.033502      5  5.800837
5.0          27.965367      1       NaN","                  Mean  Count       STD
smell value                            
1.0          18.707041      2  6.995764
3.0           3.790772      1       NaN
4.0          18.033502      5  5.800837
5.0          27.965367      1       NaN",0.20612920706439733,0.20612920706439733
2019-5-3-afternoon,2019-5-3-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           9.367457      3  9.144215
2.5          21.625619      1       NaN
3.0          12.462075      1       NaN
4.0           5.904424      1       NaN
5.0          15.939470      1       NaN","                  Mean  Count       STD
smell value                            
1.0           9.367457      3  9.144215
3.0          12.462075      1       NaN
4.0           5.904424      1       NaN
5.0          18.782544      2  4.020714",0.17777445495385424,0.4416103981442083
2019-5-4-afternoon,2019-5-4-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           9.888474      5  7.519627
2.0          11.672698      1       NaN
3.0           0.032571      1       NaN
5.0          19.739756      1       NaN","                  Mean  Count       STD
smell value                            
1.0           9.888474      5  7.519627
2.0          11.672698      1       NaN
3.0           0.032571      1       NaN
5.0          19.739756      1       NaN",0.2510848726127179,0.2510848726127179
2019-5-5-afternoon,2019-5-5-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          11.553520      1       NaN
2.0           5.837356      1       NaN
4.0          12.420192      2  5.632026
5.0          11.020135      1       NaN","                  Mean  Count       STD
smell value                            
1.0          11.553520      1       NaN
2.0           5.837356      1       NaN
4.0          12.420192      2  5.632026
5.0          11.020135      1       NaN",0.28133513189820386,0.28133513189820386
2019-5-6-morning,2019-5-6-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          13.534419      1       NaN
4.0          10.990528      2  4.592876
5.0          15.114818      1       NaN","                  Mean  Count       STD
smell value                            
1.0          13.534419      1       NaN
4.0          10.990528      2  4.592876
5.0          15.114818      1       NaN",-0.009986174964516073,-0.009986174964516073
2019-5-6-afternoon,2019-5-6-afternoon,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.0          4.931535      4  4.598076
4.0          9.903987      1       NaN
5.0          0.013427      1       NaN","                 Mean  Count       STD
smell value                           
1.0          4.931535      4  4.598076
4.0          9.903987      1       NaN
5.0          0.013427      1       NaN",-0.11080471471721036,-0.11080471471721036
2019-5-7-morning,2019-5-7-morning,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.000000     4.697802      2  6.643696
2.000000     1.957939      2  2.768943
2.500000     7.201816      1       NaN
3.000000     7.155496     13  5.257323
3.500000     7.504740      4  3.084052
3.666667     8.536462      1       NaN
4.000000     7.139833     35  6.283144
4.333333     2.227252      1       NaN
4.500000     8.337311      6  1.919183
5.000000     6.884329     21  6.736231","                  Mean  Count       STD
smell value                            
1.0           4.697802      2  6.643696
2.0           1.957939      2  2.768943
3.0           6.240285     11  5.098031
4.0           7.085995     30  6.717316
5.0           6.722894     19  6.875971
6.0          12.189155      2  3.447460
7.0           7.504740      4  3.084052
8.0           7.007618      1       NaN
9.0           8.583839      5  2.036727
10.0         10.399494      2  4.256435
11.0          8.536462      1       NaN
12.0          7.576670      4  3.308229
13.0          2.227252      1       NaN
15.0          3.238751      1       NaN
18.0          7.104668      1       NaN",0.07071308110927672,0.06298218246148016
2019-5-7-afternoon,2019-5-7-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          29.906643      4  13.658744
2.0          13.144959      1        NaN
3.0          25.064486      2  10.473835
4.0           6.214366      1        NaN
4.5           0.093713      1        NaN
5.0          22.028662      1        NaN","                  Mean  Count        STD
smell value                             
1.0          39.779637      1        NaN
2.0          23.247973      4  13.733298
3.0          25.064486      2  10.473835
4.0           6.214366      1        NaN
5.0          22.028662      1        NaN
9.0           0.093713      1        NaN",-0.5440589455750553,-0.6401438886854981
2019-5-8-morning,2019-5-8-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          10.357748      2  0.777138
4.0          10.975238      1       NaN
5.0           7.793576      2  3.136691","                  Mean  Count       STD
smell value                            
1.0          10.357748      2  0.777138
4.0          10.975238      1       NaN
5.0           7.793576      2  3.136691",-0.4777865011050949,-0.4777865011050949
2019-5-8-afternoon,2019-5-8-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           7.742836      5  4.709798
3.0          13.047078      3  1.954362
4.0           9.764206      1       NaN
5.0          14.982223      1       NaN","                  Mean  Count       STD
smell value                            
1.0           6.296247      4  3.952905
2.0          13.529193      1       NaN
3.0          13.047078      3  1.954362
4.0           9.764206      1       NaN
5.0          14.982223      1       NaN",0.5771451443357426,0.6610089338537474
2019-5-9-morning,2019-5-9-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0           9.626359      3   6.209986
2.0          10.989933      1        NaN
3.0           7.639974      3   4.790291
4.0          10.218466      5  11.551874
5.0           5.296359      6   4.097493","                  Mean  Count        STD
smell value                             
1.0           9.626359      3   6.209986
2.0          10.989933      1        NaN
3.0           7.639974      3   4.790291
4.0          10.218466      5  11.551874
5.0           5.296359      6   4.097493",-0.2018090933651156,-0.2018090933651156
