,date,percentage agreement average,percentage agreement sum,impact stats average,impact stats sum,correlation average,correlation sum
2018-9-1-morning,2018-9-1-morning,100.0,100.0,"                 Mean  Count      STD
smell value                          
3.0          3.287312      6  4.11279
4.0          8.001174      1      NaN
5.0          0.000003      1      NaN","                 Mean  Count      STD
smell value                          
3.0          3.287312      6  4.11279
4.0          8.001174      1      NaN
5.0          0.000003      1      NaN",-0.11234710193491897,-0.11234710193491897
2018-9-1-afternoon,2018-9-1-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          17.390391      2   3.953762
4.0          19.235634      3   6.828728
5.0          28.304943      3  16.489535","                  Mean  Count        STD
smell value                             
3.0          17.390391      2   3.953762
4.0          19.235634      3   6.828728
5.0          28.304943      3  16.489535",0.43765474741992755,0.43765474741992755
2018-9-2-morning,2018-9-2-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          10.968889      2  7.903604
3.0          21.844294      2  8.212087
4.0          12.811143      2  8.765860
5.0          21.226763      1       NaN","                  Mean  Count       STD
smell value                            
1.0          10.968889      2  7.903604
3.0          21.844294      2  8.212087
4.0          12.811143      2  8.765860
5.0          21.226763      1       NaN",0.3347523201565778,0.3347523201565778
2018-9-2-afternoon,2018-9-2-afternoon,100.0,100.0,"                  Mean  Count  STD
smell value                       
1.0          13.215383      1  NaN
3.0           9.656638      1  NaN
5.0          12.363567      1  NaN","                  Mean  Count  STD
smell value                       
1.0          13.215383      1  NaN
3.0           9.656638      1  NaN
5.0          12.363567      1  NaN",-0.22920321530344778,-0.22920321530344778
2018-9-3-morning,2018-9-3-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           9.130236      1       NaN
2.0           8.781951      1       NaN
3.0          14.716119     10  6.299477
3.5          23.676484      1       NaN
4.0          13.138255     12  3.630951
5.0          12.689904     12  4.293495","                  Mean  Count       STD
smell value                            
1.0           9.130236      1       NaN
2.0           8.781951      1       NaN
3.0          15.172510      9  6.503887
4.0          12.840315     10  3.585086
5.0          12.689904     12  4.293495
6.0          10.608603      1       NaN
7.0          23.676484      1       NaN
8.0          14.627955      2  4.901039",-0.025769270811279624,0.12353549302219845
2018-9-3-afternoon,2018-9-3-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          22.180095      2  8.059558
3.0          17.265512      2  2.465235
4.0          26.583601      1       NaN
5.0          26.600883      1       NaN","                  Mean  Count       STD
smell value                            
1.0          22.180095      2  8.059558
3.0          17.265512      2  2.465235
4.0          26.583601      1       NaN
5.0          26.600883      1       NaN",0.2903248365418584,0.2903248365418584
2018-9-4-morning,2018-9-4-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
3.0          13.783671      5  6.348737
4.0          12.302085      4  3.852466
5.0          16.936773      3  7.600145","                  Mean  Count       STD
smell value                            
3.0          13.783671      5  6.348737
4.0          12.302085      4  3.852466
5.0          16.936773      3  7.600145",0.1915715451681746,0.1915715451681746
2018-9-4-afternoon,2018-9-4-afternoon,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          3.492447      1  NaN","                 Mean  Count  STD
smell value                      
3.0          3.492447      1  NaN",,
2018-9-5-morning,2018-9-5-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0           9.428835      2   5.460498
2.0          19.606474      1        NaN
3.0          18.409020      4  10.341733
3.5          28.361178      1        NaN
4.0          15.794708      3  13.303961
5.0          23.359689      7  12.530679","                  Mean  Count        STD
smell value                             
1.0           9.428835      2   5.460498
2.0          19.606474      1        NaN
3.0          18.409020      4  10.341733
4.0          15.794708      3  13.303961
5.0          23.359689      7  12.530679
7.0          28.361178      1        NaN",0.34072186781390945,0.40119425727621516
2018-9-5-afternoon,2018-9-5-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          11.169150      1        NaN
3.0          12.922107      2   6.690066
4.0           8.352958      2  11.803590
5.0           3.343862      1        NaN","                  Mean  Count       STD
smell value                            
1.0          11.169150      1       NaN
3.0          12.922107      2  6.690066
4.0          16.699357      1       NaN
5.0           3.343862      1       NaN
8.0           0.006559      1       NaN",-0.3713183778958542,-0.6680154516490414
2018-9-6-morning,2018-9-6-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.000000     11.491151      2  3.060796
2.500000      3.859351      1       NaN
3.000000      6.946279     10  3.396139
3.500000     15.376502      1       NaN
3.666667      9.584968      1       NaN
4.000000      8.988980      7  5.712116
5.000000      6.787272      9  3.074374","                  Mean  Count       STD
smell value                            
1.0          11.491151      2  3.060796
3.0           6.946279     10  3.396139
4.0           8.988980      7  5.712116
5.0           6.621682      8  3.381902
7.0          15.376502      1       NaN
10.0          5.985674      2  1.619130
11.0          9.584968      1       NaN",-0.1465196419767841,-0.03893187706208846
2018-9-6-afternoon,2018-9-6-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          16.580927      1       NaN
2.0           7.474367      1       NaN
3.0           7.204983      2  0.959663
4.0           4.126051      1       NaN
5.0           2.710859      2  3.831037","                  Mean  Count       STD
smell value                            
1.0          16.580927      1       NaN
2.0           7.474367      1       NaN
3.0           7.204983      2  0.959663
4.0           4.126051      1       NaN
5.0           2.710859      2  3.831037",-0.8699907250798454,-0.8699907250798454
2018-9-7-morning,2018-9-7-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          18.523020      2  0.508876
2.0          14.318066      1       NaN
3.0          12.893084      2  1.879113
5.0           0.000001      1       NaN","                  Mean  Count       STD
smell value                            
1.0          18.523020      2  0.508876
2.0          14.318066      1       NaN
3.0          12.893084      2  1.879113
5.0           0.000001      1       NaN",-0.9577407093872818,-0.9577407093872818
2018-9-7-afternoon,2018-9-7-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
3.0          11.674615      6  9.595546
4.0          11.854857      5  5.048528","                  Mean  Count       STD
smell value                            
3.0          11.674615      6  9.595546
4.0          11.854857      5  5.048528",0.012551451974382946,0.012551451974382946
2018-9-8-morning,2018-9-8-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          17.842514      2  6.416131
3.0          35.508063      1       NaN","                  Mean  Count       STD
smell value                            
1.0          17.842514      2  6.416131
3.0          35.508063      1       NaN",0.9136815863985162,0.9136815863985162
2018-9-8-afternoon,2018-9-8-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          13.513709      2  7.906887
5.0           5.691666      2  0.541128","                  Mean  Count       STD
smell value                            
1.0          13.513709      2  7.906887
20.0          5.691666      2  0.541128",-0.702451411921992,-0.702451411921992
2018-9-9-morning,2018-9-9-morning,100.0,100.0,"                  Mean  Count  STD
smell value                       
1.0           6.373964      1  NaN
4.5          16.232123      1  NaN","                  Mean  Count  STD
smell value                       
1.0           6.373964      1  NaN
9.0          16.232123      1  NaN",0.9999999999999998,0.9999999999999998
2018-9-9-afternoon,2018-9-9-afternoon,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.0          4.473657      2  1.837118","                 Mean  Count       STD
smell value                           
1.0          4.473657      2  1.837118",,
2018-9-10-morning,2018-9-10-morning,100.0,100.0,"                  Mean  Count  STD
smell value                       
1.0          20.560257      1  NaN","                  Mean  Count  STD
smell value                       
1.0          20.560257      1  NaN",,
2018-9-10-afternoon,2018-9-10-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
2.0           3.562705      1       NaN
3.0           9.174220      3  6.881690
4.0           1.239040      5  2.141143
5.0          11.414935      1       NaN","                  Mean  Count       STD
smell value                            
2.0           3.562705      1       NaN
3.0           9.174220      3  6.881690
4.0           1.239040      5  2.141143
5.0          11.414935      1       NaN",-0.0888454214581052,-0.0888454214581052
2018-9-11-morning,2018-9-11-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          20.151998      2   5.434522
3.0          21.357930      2  27.698521
4.0          12.078214      2   2.405617","                  Mean  Count        STD
smell value                             
1.0          20.151998      2   5.434522
3.0          21.357930      2  27.698521
4.0          12.078214      2   2.405617",-0.22559429975685874,-0.22559429975685874
2018-9-11-afternoon,2018-9-11-afternoon,100.0,100.0,"                  Mean  Count  STD
smell value                       
1.0          11.851478      1  NaN
3.0          11.327594      1  NaN","                  Mean  Count  STD
smell value                       
1.0          11.851478      1  NaN
3.0          11.327594      1  NaN",-1.0,-1.0
2018-9-12-morning,2018-9-12-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
4.0           7.543509      3  12.904077
5.0          22.973948      1        NaN","                  Mean  Count        STD
smell value                             
4.0           7.543509      3  12.904077
5.0          22.973948      1        NaN",0.5908018214958967,0.5908018214958967
2018-9-12-afternoon,2018-9-12-afternoon,100.0,100.0,"                 Mean  Count       STD
smell value                           
2.0          8.942134      3  2.414681
3.0          9.605875      6  2.727561
4.0          8.620283      2  0.484260
5.0          7.644745      1       NaN","                 Mean  Count       STD
smell value                           
2.0          8.942134      3  2.414681
3.0          9.605875      6  2.727561
4.0          8.620283      2  0.484260
5.0          7.644745      1       NaN",-0.1563833390265009,-0.1563833390265009
2018-9-13-morning,2018-9-13-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
2.0          21.246923      2   6.544219
3.0          17.961494      6  13.109603
4.0          12.938524      3   7.908818
5.0           9.741970      1        NaN","                  Mean  Count        STD
smell value                             
2.0          21.246923      2   6.544219
3.0          17.961494      6  13.109603
4.0          12.938524      3   7.908818
5.0           9.741970      1        NaN",-0.34522184472274,-0.34522184472274
2018-9-13-afternoon,2018-9-13-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          10.328213      2  2.672194
2.0          11.867607      2  2.070115
3.0          10.088657      2  1.867359
4.0          11.145594      1       NaN
5.0          16.258063      1       NaN","                  Mean  Count       STD
smell value                            
1.0          10.328213      2  2.672194
2.0          11.867607      2  2.070115
3.0          10.088657      2  1.867359
4.0          11.145594      1       NaN
5.0          16.258063      1       NaN",0.5262843118129215,0.5262843118129215
2018-9-14-morning,2018-9-14-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          16.531505      3  11.505500
3.0          11.597362      5  14.443812","                  Mean  Count        STD
smell value                             
1.0          16.531505      3  11.505500
3.0          11.597362      5  14.443812",-0.19967756689416472,-0.19967756689416472
2018-9-14-afternoon,2018-9-14-afternoon,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.0          2.116166      2  1.607118
2.0          6.220029      1       NaN
3.0          3.961100      1       NaN
4.0          2.689881      1       NaN
5.0          3.037314      1       NaN","                 Mean  Count       STD
smell value                           
1.0          2.116166      2  1.607118
2.0          6.220029      1       NaN
3.0          3.961100      1       NaN
4.0          2.689881      1       NaN
5.0          3.037314      1       NaN",0.05653229196473992,0.05653229196473992
2018-9-15-morning,2018-9-15-morning,100.0,100.0,"                  Mean  Count  STD
smell value                       
1.0           6.515484      1  NaN
3.0          15.740383      1  NaN","                  Mean  Count  STD
smell value                       
1.0           6.515484      1  NaN
3.0          15.740383      1  NaN",1.0000000000000002,1.0000000000000002
2018-9-15-afternoon,2018-9-15-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          11.746698      2  11.451485
4.0           6.094260      1        NaN
5.0          18.929127      1        NaN","                  Mean  Count  STD
smell value                       
3.0          19.844120      1  NaN
4.0           6.094260      1  NaN
5.0          18.929127      1  NaN
6.0           3.649275      1  NaN",0.31177522071638847,-0.5463365080025021
2018-9-16-morning,2018-9-16-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          17.366814      1       NaN
4.0          11.041848      2  6.150128","                  Mean  Count       STD
smell value                            
1.0          17.366814      1       NaN
4.0          11.041848      2  6.150128",-0.643061010213473,-0.643061010213473
2018-9-16-afternoon,2018-9-16-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           7.411420      4  1.865047
3.0           8.467223      1       NaN
5.0          10.131150      1       NaN","                  Mean  Count       STD
smell value                            
1.0           7.411420      4  1.865047
3.0           8.467223      1       NaN
5.0          10.131150      1       NaN",0.605000157114138,0.605000157114138
2018-9-17-morning,2018-9-17-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          18.251826      2  6.508076
3.0          12.420077      3  5.156291
4.0          12.109640      1       NaN
5.0           6.261211      1       NaN","                  Mean  Count       STD
smell value                            
1.0          18.251826      2  6.508076
3.0          12.420077      3  5.156291
4.0          12.109640      1       NaN
5.0           6.261211      1       NaN",-0.6984011062876817,-0.6984011062876817
