,date,percentage agreement average,percentage agreement sum,impact stats average,impact stats sum,correlation average,correlation sum
2018-10-1-morning,2018-10-1-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.000000     20.705154      1       NaN
3.000000     17.569360     11  8.388077
3.500000     20.153186      1       NaN
3.666667     11.459607      2  2.459649
4.000000     13.963034     18  4.534914
4.250000     17.859942      1       NaN
4.333333     19.974627      2  4.628606
4.500000     11.793308      5  3.658394
5.000000     14.306675     13  6.001778","                  Mean  Count       STD
smell value                            
1.0          20.705154      1       NaN
3.0          17.569360     11  8.388077
4.0          13.962463     11  5.441223
5.0          14.575531     12  6.186348
7.0          20.153186      1       NaN
8.0          14.222396      5  3.119581
9.0          12.104550      4  4.147207
10.0         11.080402      1       NaN
11.0         11.459607      2  2.459649
12.0         10.724770      1       NaN
13.0         19.974627      2  4.628606
16.0         15.910779      1       NaN
17.0         17.859942      1       NaN
18.0         10.548341      1       NaN",-0.22994838539536666,-0.11765770199046705
2018-10-1-afternoon,2018-10-1-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          10.005763      1       NaN
3.0          11.808622      3  2.526668
4.0           3.325066      1       NaN","                  Mean  Count       STD
smell value                            
1.0          10.005763      1       NaN
3.0          11.808622      3  2.526668
4.0           3.325066      1       NaN",-0.38721952902717904,-0.38721952902717904
2018-10-2-morning,2018-10-2-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          29.312886      1       NaN
3.0          10.402336      5  8.225316
4.0          15.584478      2  1.168461
5.0           1.039429      1       NaN","                  Mean  Count       STD
smell value                            
1.0          29.312886      1       NaN
3.0          10.476627      4  9.495840
4.0          15.584478      2  1.168461
5.0           1.039429      1       NaN
6.0          10.105173      1       NaN",-0.607217898831284,-0.5353648434103612
2018-10-2-afternoon,2018-10-2-afternoon,80.0,80.0,"                 Mean  Count        STD
smell value                            
3.0          3.365611      3   2.674764
4.0          8.510589      2  12.035790","                 Mean  Count        STD
smell value                            
3.0          3.365611      3   2.674764
4.0          8.510589      2  12.035790",0.40788015077952633,0.40788015077952633
2018-10-3-morning,2018-10-3-morning,100.0,100.0,"                  Mean  Count  STD
smell value                       
1.0          33.994956      1  NaN
3.0          21.662718      1  NaN","                  Mean  Count  STD
smell value                       
1.0          33.994956      1  NaN
3.0          21.662718      1  NaN",-1.0,-1.0
2018-10-3-afternoon,2018-10-3-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          10.705635      1       NaN
3.0          16.635756      5  7.257281
4.0          17.162841      4  4.641385
5.0           4.171160      1       NaN","                  Mean  Count       STD
smell value                            
1.0          10.705635      1       NaN
3.0          16.635756      5  7.257281
4.0          17.162841      4  4.641385
5.0           4.171160      1       NaN",-0.07372790328560534,-0.07372790328560534
2018-10-4-morning,2018-10-4-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          18.657804      3  16.929518
5.0           7.799285      1        NaN","                  Mean  Count        STD
smell value                             
3.0          18.657804      3  16.929518
5.0           7.799285      1        NaN",-0.365584557280537,-0.365584557280537
2018-10-4-afternoon,2018-10-4-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          26.235744      2  16.186434
4.0           6.498024      2   0.533276","                  Mean  Count        STD
smell value                             
1.0          26.235744      2  16.186434
4.0           6.498024      2   0.533276",-0.7730702333642278,-0.7730702333642278
2018-10-5-morning,2018-10-5-morning,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.0          8.461691      1       NaN
4.0          7.504809      3  2.483002","                 Mean  Count       STD
smell value                           
1.0          8.461691      1       NaN
4.0          7.504809      3  2.483002",-0.22968269327819088,-0.22968269327819088
2018-10-5-afternoon,2018-10-5-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          12.296035      5  11.240730
4.0          10.180990     10  11.684258
5.0           4.794081      3   8.303588","                  Mean  Count        STD
smell value                             
3.0           8.709281      4   9.094322
4.0          10.180990     10  11.684258
5.0           4.794081      3   8.303588
6.0          26.643048      1        NaN",-0.22046202689833327,0.15598579380337652
2018-10-6-morning,2018-10-6-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          16.399571      5   5.164000
4.0          13.000350      3  10.996430
5.0          21.717527      2   6.932606","                  Mean  Count        STD
smell value                             
3.0          16.399571      5   5.164000
4.0          13.000350      3  10.996430
5.0          21.717527      2   6.932606",0.1973942060127335,0.1973942060127335
2018-10-6-afternoon,2018-10-6-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0           0.000436      1        NaN
3.0          14.784501      5   5.833356
4.0           7.755668      3   6.079991
5.0          11.768823      2  16.631996","                  Mean  Count        STD
smell value                             
2.0           0.000436      1        NaN
3.0          14.784501      5   5.833356
4.0           7.755668      3   6.079991
5.0          11.768823      2  16.631996",0.1624583687630913,0.0569643560464436
2018-10-7-morning,2018-10-7-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
2.000000     11.710724      2  3.731508
3.000000     13.578029      5  6.162036
3.666667     14.558308      1       NaN
4.000000     13.423650     15  3.202823
5.000000     11.906380      5  2.050702","                  Mean  Count       STD
smell value                            
2.0          11.710724      2  3.731508
3.0          14.318254      4  6.853809
4.0          12.756816     11  2.378785
5.0          12.423181      3  2.505514
6.0          10.617131      1       NaN
8.0          15.257444      4  4.784848
10.0         11.131178      2  1.504392
11.0         14.558308      1       NaN",-0.0426467122343426,0.062005961209811326
