,date,percentage agreement average,percentage agreement sum,impact stats average,impact stats sum,correlation average,correlation sum
2020-6-1-morning,2020-6-1-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.000000      7.034425      1        NaN
3.666667     14.668154      1        NaN
4.000000     14.003996      9  11.571427","                  Mean  Count      STD
smell value                           
3.0           7.034425      1      NaN
4.0          15.142218      8  11.8195
8.0           4.898224      1      NaN
11.0         14.668154      1      NaN",0.18377717473344496,-0.07565968238317793
2020-6-1-afternoon,2020-6-1-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.000000      6.097136      2  7.384176
3.333333     19.061656      1       NaN
5.000000     15.935593      1       NaN","                  Mean  Count       STD
smell value                            
1.0           6.097136      2  7.384176
5.0          15.935593      1       NaN
10.0         19.061656      1       NaN",0.7204000776995045,0.8045008011081294
2020-6-2-morning,2020-6-2-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
2.666667     22.564868      1        NaN
3.000000     25.533113      6  11.305084
3.333333      4.459692      1        NaN
4.000000     19.617238     19   7.630501
4.333333      3.600478      1        NaN
4.500000     14.665717      3  14.249407
5.000000     21.071079     16  12.251367","                  Mean  Count        STD
smell value                             
3.0          25.533113      6  11.305084
4.0          19.928682     15   7.539834
5.0          21.071079     16  12.251367
8.0          19.020418      4   9.265049
9.0          14.665717      3  14.249407
10.0          4.459692      1        NaN
13.0          3.600478      1        NaN
16.0         20.280491      1        NaN",-0.06418021230776641,-0.26787032501487856
2020-6-2-afternoon,2020-6-2-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0           6.986301      3  11.645417
3.0           5.508131      2   6.079130
4.0           7.360605      6   7.174449
5.0          13.329866      3   6.599300","                  Mean  Count        STD
smell value                             
1.0           6.986301      3  11.645417
3.0           5.508131      2   6.079130
4.0           7.360605      6   7.174449
5.0          13.329866      3   6.599300",0.2255940738394446,0.2255940738394446
2020-6-3-morning,2020-6-3-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           9.924583      2  0.371626
3.0          21.643872      2  0.816552
5.0          12.434331      1       NaN","                  Mean  Count       STD
smell value                            
1.0           9.924583      2  0.371626
3.0          21.643872      2  0.816552
5.0          12.434331      1       NaN",0.37934709848022746,0.37934709848022746
2020-6-3-afternoon,2020-6-3-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          12.669200      4  5.674073
3.0          11.669410      1       NaN
4.0           0.000155      1       NaN","                  Mean  Count       STD
smell value                            
1.0          12.669200      4  5.674073
3.0          11.669410      1       NaN
4.0           0.000155      1       NaN",-0.6391190406900398,-0.6391190406900398
2020-6-4-morning,2020-6-4-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          13.629279      3  16.921077
4.0          12.477469      3  10.954315
4.5          18.126312      1        NaN
5.0          18.323148      1        NaN","                     Mean  Count        STD
smell value                                
3.0          1.362928e+01      3  16.921077
4.0          1.871620e+01      2   2.542278
5.0          1.832315e+01      1        NaN
8.0          3.655917e-10      1        NaN
9.0          1.812631e+01      1        NaN",0.13765899356955133,-0.17750271944513465
2020-6-4-afternoon,2020-6-4-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
3.0           5.254050      5  1.551545
4.0           9.028711      3  5.059924
5.0          13.796801      1       NaN","                  Mean  Count       STD
smell value                            
3.0           5.254050      5  1.551545
4.0           9.028711      3  5.059924
5.0          13.796801      1       NaN",0.7339193848548774,0.7339193848548774
2020-6-5-morning,2020-6-5-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          29.940212      2  3.826435
2.0           5.092173      2  2.845203
3.0          28.125118      1       NaN
5.0          20.017960      1       NaN","                  Mean  Count       STD
smell value                            
1.0          29.940212      2  3.826435
2.0           5.092173      2  2.845203
3.0          28.125118      1       NaN
5.0          20.017960      1       NaN",-0.1220520745308672,-0.1220520745308672
2020-6-5-afternoon,2020-6-5-afternoon,100.0,100.0,"                  Mean  Count  STD
smell value                       
1.0           5.289639      1  NaN
3.0          10.614940      1  NaN
4.0           0.000013      1  NaN","                  Mean  Count  STD
smell value                       
1.0           5.289639      1  NaN
3.0          10.614940      1  NaN
4.0           0.000013      1  NaN",-0.32549276863242854,-0.32549276863242854
2020-6-6-morning,2020-6-6-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          21.902303      1        NaN
3.0          12.636261      2   0.253513
4.0          29.410886      3  11.793559
5.0          13.453470      1        NaN","                  Mean  Count        STD
smell value                             
1.0          21.902303      1        NaN
3.0          12.636261      2   0.253513
4.0          29.410886      3  11.793559
5.0          13.453470      1        NaN",0.09222250589529044,0.09222250589529044
2020-6-6-afternoon,2020-6-6-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          13.144626      3   4.935383
1.5           8.560849      1        NaN
3.0          11.366489      2   1.171371
4.0          14.064796      3  10.181259
5.0          16.136229      1        NaN","                  Mean  Count        STD
smell value                             
1.0          13.144626      3   4.935383
3.0          10.431275      3   1.819321
4.0          14.064796      3  10.181259
5.0          16.136229      1        NaN",0.19237435521901486,0.11377434458015875
2020-6-7-morning,2020-6-7-morning,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.0          8.114547      3  4.705392","                 Mean  Count       STD
smell value                           
1.0          8.114547      3  4.705392",,
2020-6-7-afternoon,2020-6-7-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          15.174489      4  12.331963
3.0           8.873569      2   0.673256","                  Mean  Count        STD
smell value                             
1.0          10.821163      3  10.696132
2.0          28.234470      1        NaN
3.0           8.873569      2   0.673256",-0.3222922353604556,-0.03308799989995889
2020-6-8-morning,2020-6-8-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          16.509117      5  7.878799
2.0          23.882216      1       NaN
3.0          22.693758      2  5.329878
4.0          12.114232      2  1.112573
5.0          10.301794      2  7.371767","                  Mean  Count       STD
smell value                            
1.0          16.509117      5  7.878799
2.0          23.882216      1       NaN
3.0          22.693758      2  5.329878
4.0          12.114232      2  1.112573
5.0          10.301794      2  7.371767",-0.32160239518517464,-0.32160239518517464
2020-6-8-afternoon,2020-6-8-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          15.057827      3  2.519890
3.0          16.075847      4  5.533596
4.0          12.286736      1       NaN
5.0          52.543444      1       NaN","                  Mean  Count       STD
smell value                            
1.0          15.057827      3  2.519890
3.0          16.075847      4  5.533596
4.0          12.286736      1       NaN
5.0          52.543444      1       NaN",0.5782875107728322,0.5782875107728322
2020-6-9-morning,2020-6-9-morning,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.000000     1.269789      1       NaN
2.000000     8.809757      2  1.412498
3.000000     5.914409      9  4.435374
3.500000     9.304259      1       NaN
4.000000     5.618127     15  5.374098
4.666667     7.459512      1       NaN
5.000000     3.430537     22  2.544704","                 Mean  Count       STD
smell value                           
1.0          1.269789      1       NaN
2.0          8.809757      2  1.412498
3.0          5.841719      8  4.735880
4.0          5.533138     13  5.798517
5.0          3.458598     19  2.528109
6.0          6.495930      1       NaN
7.0          9.304259      1       NaN
8.0          6.170553      2  0.393857
14.0         7.459512      1       NaN
15.0         3.252813      3  3.227391",-0.2327904714236578,-0.06370635860838918
2020-6-9-afternoon,2020-6-9-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
2.00         13.790727      3  5.892841
3.00         18.565190      4  4.301763
4.00         14.609286      5  8.717393
4.25         10.801448      1       NaN
5.00         15.609956      4  6.280377","                  Mean  Count       STD
smell value                            
2.0          13.790727      3  5.892841
3.0          18.565190      4  4.301763
4.0          14.609286      5  8.717393
5.0          15.609956      4  6.280377
17.0         10.801448      1       NaN",-0.030903197475726587,-0.1825700577962511
2020-6-10-morning,2020-6-10-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           8.812891      1       NaN
3.0          14.887558      1       NaN
4.0          10.055238      3  6.042595
5.0          12.515299      5  3.092306","                  Mean  Count       STD
smell value                            
1.0           8.812891      1       NaN
3.0          14.887558      1       NaN
4.0          13.538644      2  0.470323
5.0          12.515299      5  3.092306
8.0           3.088425      1       NaN",0.20944186618564817,-0.3880907691521262
2020-6-10-afternoon,2020-6-10-afternoon,100.0,100.0,"                     Mean  Count        STD
smell value                                
1.0          8.527704e-08      1        NaN
3.0          1.922788e+01      2  12.837392
4.0          1.372904e+01      4  12.419091
5.0          9.597016e+00      3  10.215659","                     Mean  Count        STD
smell value                                
1.0          8.527704e-08      1        NaN
3.0          1.922788e+01      2  12.837392
4.0          1.372904e+01      4  12.419091
5.0          9.597016e+00      3  10.215659",0.12000515584142585,0.12000515584142585
2020-6-11-morning,2020-6-11-morning,100.0,100.0,"                  Mean  Count  STD
smell value                       
1.0          21.599024      1  NaN
3.0          31.134494      1  NaN
4.0          29.620250      1  NaN
5.0          30.800225      1  NaN","                  Mean  Count  STD
smell value                       
2.0          21.599024      1  NaN
3.0          31.134494      1  NaN
4.0          29.620250      1  NaN
5.0          30.800225      1  NaN",0.8546631942559169,0.747358416535426
2020-6-11-afternoon,2020-6-11-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           8.105002      2  1.236577
2.0           2.840366      2  0.713272
4.0          15.733478      2  5.667905
5.0          10.369565      1       NaN","                  Mean  Count       STD
smell value                            
1.0           8.105002      2  1.236577
2.0           2.840366      2  0.713272
4.0          19.741292      1       NaN
5.0          10.369565      1       NaN
8.0          11.725664      1       NaN",0.5757927007809233,0.47707906766447633
2020-6-12-morning,2020-6-12-morning,100.0,100.0,"                 Mean  Count        STD
smell value                            
1.000000     2.109754      1        NaN
2.000000     5.714859      2   6.443939
3.000000     2.633421      6   3.609436
4.000000     6.746310      9   5.720447
4.666667     4.183871      1        NaN
5.000000     8.970096      7  10.013053","                 Mean  Count        STD
smell value                            
1.0          2.109754      1        NaN
2.0          5.714859      2   6.443939
3.0          2.925027      5   3.955665
4.0          7.246457      6   5.501253
5.0          8.970096      7  10.013053
6.0          1.175391      1        NaN
8.0          5.746017      3   7.278963
14.0         4.183871      1        NaN",0.29079676719118147,0.04007813705789682
